App;User Group;1;2;3;4;5;6;7;8
l10n_rw;base.group_user;30;30;30;30;30;30;30;30
l10n_sa;base.group_user;102;102;102;102;102;102;102;102
l10n_sa_edi;base.group_user;73,5;73,5;73,5;73,5;73,5;73,5;73,5;73,5
l10n_sa_edi_pos;base.group_user;33;33;33;33;33;33;33;33
l10n_sa_pos;base.group_user;33;33;33;33;33;33;33;33
l10n_se;base.group_user;417;417;417;417;417;417;417;417
l10n_sg;base.group_user;111;111;111;111;111;111;111;111
l10n_sg_ubl_pint;base.group_user;60;60;60;60;60;60;60;60
l10n_si;base.group_user;246;246;246;246;246;246;246;246
l10n_sk;base.group_user;219;219;219;219;219;219;219;219
l10n_sn;base.group_user;30;30;30;30;30;30;30;30
l10n_syscohada;base.group_user;375;375;375;375;375;375;375;375
l10n_td;base.group_user;30;30;30;30;30;30;30;30
l10n_test_pos_qr_payment;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_tg;base.group_user;30;30;30;30;30;30;30;30
l10n_th;base.group_user;60;60;60;60;60;60;60;60
l10n_tn;base.group_user;30;30;30;30;30;30;30;30
l10n_tr;base.group_user;162;162;162;162;162;162;162;162
l10n_tr_nilvera;base.group_user;60;60;60;60;60;60;60;60
l10n_tr_nilvera_einvoice;base.group_user;30;30;30;30;30;30;30;30
l10n_tw;base.group_user;72;72;72;72;72;72;72;72
l10n_tz_account;base.group_user;30;30;30;30;30;30;30;30
l10n_ua;base.group_user;174;174;174;174;174;174;174;174
l10n_ug;base.group_user;33;33;33;33;33;33;33;33
l10n_uk;base.group_user;69;69;69;69;69;69;69;69
l10n_us;base.group_user;0;0;0;0;0;0;0;0
l10n_us_account;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
l10n_uy;base.group_user;126;126;126;126;126;126;126;126
l10n_ve;base.group_user;117;117;117;117;117;117;117;117
l10n_vn;base.group_user;113,7;113,7;113,7;113,7;113,7;113,7;113,7;113,7
l10n_vn_edi_viettel;base.group_user;60;60;60;60;60;60;60;60
l10n_za;base.group_user;72;72;72;72;72;72;72;72
l10n_zm_account;base.group_user;30;30;30;30;30;30;30;30
link_tracker;base.group_user;0;0;0;0;0;0;0;0
loyalty;base.group_user;117,3;117,3;117,3;117,3;117,3;117,3;117,3;117,3
loyalty_delivery;base.group_user;0;0;0;0;0;0;0;0
lunch;base.group_user;32;64;96;96;96;96;96;96
mail;base.group_user;0;0;0;0;0;0;0;0
mail_bot;base.group_user;0,6;1,2;1,8;2,4;3;3,6;4,2;4,8
mail_bot_hr;base.group_user;0,6;1,2;1,8;2,4;3;3;3;3
mail_group;base.group_user;33;33;33;33;33;33;33;33
mail_plugin;base.group_user;30;30;30;30;30;30;30;30
maintenance;base.group_user;2;4;6;6;6;6;6;6
marketing_automation;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
